Payment_type,Dropoff_longitude,Dropoff_latitude
0.25,0.00340992737443,0.987628045318
0.25,0.00353816722927,0.986090953547
0.25,0.00519345983445,0.986819535391
0.0,0.0033929589819,0.984305863406
0.0,0.00448767741734,0.988439416275
0.25,0.00364131459431,0.987511660584
0.25,0.00456521792321,0.985406581319
0.25,0.0031897495244,0.985319915723
0.0,0.00366753840015,0.986247394626
0.25,0.00324281435235,0.98398762816
0.25,0.00360542385271,0.988277252896
0.25,0.00313493656854,0.987277414269
0.0,0.00339234190043,0.984456490003
0.25,0.0031880012617,0.987254894037
0.0,0.00342206236648,0.986197555134
0.0,0.00328096759121,0.987423333535
0.0,0.00373623474556,0.986167835754
0.0,0.00478539563845,0.984589949456
0.25,0.00394818538181,0.988574721788
0.0,0.00399929625322,0.985966723665
0.25,0.00278908976688,0.985861322138
0.0,0.0027340711172,0.985903593513
0.0,0.00259554724513,0.985148891984
0.0,0.00329546779265,0.984540663539
0.0,0.00313185143077,0.987307225589
0.25,0.0037942358209,0.985828095487
0.25,0.00413195825569,0.985866121409
0.0,0.0053653034101,0.983435700173
0.25,0.00319334889673,0.984204430544
0.25,0.00499302710878,0.985179903364
0.25,0.00321926429663,0.987451760673
0.25,0.00381665456058,0.987428409835
0.25,0.00328785779513,0.987619461747
0.0,0.00370003546323,0.983115157231
0.25,0.00299816095919,0.987039106864
0.0,0.00280832065668,0.984442184131
0.25,0.00362691710499,0.985752505522
0.0,0.00353261403521,0.986346612459
0.0,0.00250782583854,0.985442207364
0.25,0.00312084761996,0.985848492872
0.25,0.00527398249638,0.984327645214
0.0,0.00597523991896,0.984323215155
0.25,0.00317689473876,0.984351826657
0.25,0.00391990477253,0.984226027746
0.0,0.00350083676571,0.988597334202
0.25,0.00430102509951,0.985728047049
0.25,0.00319622847547,0.983762242203
0.25,0.0036152963475,0.986324738469
0.25,0.00408290418772,0.985804006468
0.25,0.00276142623907,0.98397719877
0.25,0.00419582106583,0.985003987688
0.25,0.00332487971796,0.987110451377
0.0,0.00281500516678,0.984561614742
0.25,0.00396083447363,0.985756012793
0.25,0.00321628200577,0.987325777155
