Passenger_count,Trip_distance,Fare_amount,Tip_amount,Total_amount
1,0.63,4.5,0,5.8
1,0.04,2.5,0,3.8
1,3.43,15.5,3.36,20.16
2,3.63,13,0,14.3
3,0.91,6,0,7.3
5,1.98,9,0,10.3
1,1.01,5.5,0,6.8
6,1.75,9,0,10.3
1,2.14,10.5,0,11.8
1,1.49,7.5,2,10.8
1,8.36,24.5,0,25.8
1,5.22,17,3,21.3
6,1.92,9.5,1.5,12.3
1,4.9,16.5,0,17.8
2,0.94,5.5,1,7.8
1,1.27,7.5,0,8.8
1,1.47,9,3.09,13.39
1,3.18,13.5,0,14.8
6,5.16,20,0,21.3
1,1.07,5.5,0,6.8
1,1.92,8.5,0,9.8
1,0.62,4.5,0,5.8
1,0.53,4,2,7.3
1,1.27,7.5,1.76,10.56
3,5.68,18.5,0,19.8
1,1.84,7.5,1.76,10.56
1,3.44,16,0,17.3
5,1.14,6,0,7.3
1,4.17,15.5,0,16.8
1,0.73,5,0,6.3
1,0.9,5.5,0,6.8
1,0.46,4,0,5.3
1,8.33,25.5,0,26.8
2,2.1,9.5,0,10.8
1,2.17,9.5,2.16,12.96
1,0.84,5,1.89,8.19
1,6.86,22,4.66,27.96
1,1.37,8,1.86,11.16
1,0.59,5,1.58,7.88
2,0.57,4.5,0,5.8
5,2.09,9,0,10.3
1,1.23,6.5,0,7.8
1,4.02,16,0,17.3
1,1.9,8,0,9.3
1,3.43,11.5,2.56,15.36
1,3.96,16.5,4.45,22.25
1,3.33,13,0,14.3
1,1.85,8.5,1.96,11.76
1,0.95,6,1.46,8.76
1,8.13,26,6.82,34.12
1,1.66,8,1.86,11.16
1,1.91,10.5,0,11.8
2,0.72,5.5,2.04,8.84
1,2.04,9.5,0,10.8
5,1.84,8.5,1.96,11.76
2,3.01,11.5,3.84,16.64
1,3.25,13,2.86,17.16
1,1.35,8,0,9.3
1,5.63,20.5,8.2,35.54
1,2.63,12,0,13.3
1,0.98,6.5,1.56,9.36
1,1.33,7,0,8.3
1,1.82,9,0,10.3
1,0.48,4.5,1.16,6.96
1,7.13,23,6.08,30.38
1,0.71,5,0,6.3
1,9.42,31,0,32.3
1,1.76,8.5,1.76,11.56
1,1.11,5.5,0,6.8
1,4.91,19.5,1,21.8
1,1.17,6.5,1.56,9.36
1,0.04,-2.5,0,-3.8
1,5.33,22,4.66,27.96
5,16.35,45,0,51.84
1,2.4,11,0,12.3
1,9.77,31,8.08,40.38
1,3.17,13.5,2.96,17.76
5,5.74,20,5.32,26.62
1,2.8,12.5,0,13.8
1,2.42,11.5,0,12.8
1,0.41,4,0,5.3
1,3.94,14,0,15.3
1,1.66,9,0,10.3
1,6.45,20,0,21.3
1,6.85,24,5.06,30.36
5,1.12,6.5,1.56,9.36
1,1.37,7,2.49,10.79
1,1.08,6.5,1.95,9.75
1,4.51,18,0,19.3
1,1.8,9,0,10.3
1,4.56,15.5,4.2,21
1,2.97,10,2.26,13.56
1,3.41,12,0,13.3
1,1.8,7.5,1.76,10.56
2,0.95,5,0,6.3
1,0.71,5,0,6.3
1,2.56,12,2.66,15.96
5,4.65,17.5,3.76,22.56
1,10.13,29.5,7.27,43.61
1,1.18,6.5,1.56,9.36
2,6.55,21,0,22.3
1,1.31,7,0,8.3
1,0.35,3.5,0,4.8
1,5.56,17.5,0,18.8
1,3.99,16.5,0,17.8
1,2.53,11.5,0,12.8
6,0.94,5.5,0,6.8
1,0.79,5.5,1.36,8.16
5,0.99,5,0,6.3
1,4.17,15,3.26,19.56
1,1.8,9,0,10.3
1,1.36,7.5,0,8.8
1,0.52,4,0,5.3
1,7.72,26,0,27.3
1,2.02,9,2.06,12.36
1,4.73,18,0,19.3
1,2.91,12.5,0,13.8
1,2.17,9,0,10.3
