Passenger_count,Trip_distance,Fare_amount,Tip_amount,Total_amount
1,1.91,9,0,10.3
1,2.39,11,2,14.3
1,2.52,11,0,12.3
1,0.92,6.5,0,7.8
1,0.65,6,0,7.3
1,0.52,6.5,0,7.8
1,1.12,6.5,1.95,9.75
2,1.36,7.5,0,8.8
1,1.36,6.5,0,7.8
1,0.77,6,1.82,9.12
2,1.91,9,0,10.3
1,0.87,5,0,6.3
1,2.24,11,0,12.3
1,0.92,6,0,7.3
1,1.29,6.5,0,7.8
1,0.26,3.5,0,4.8
1,0,-52,0,-52.8
1,2.61,10,0,11.3
1,0,20,0,20
1,2.86,12,2.66,15.96
1,4.15,13,0,14.3
1,6.1,19.5,4.16,24.96
1,1.43,8,1.86,11.16
1,0.93,6,0,7.3
2,2.37,11,3.69,15.99
6,4.76,16,0,17.3
1,1.37,7,0,8.3
1,2.07,8.5,0,9.8
1,1.95,10,0,11.3
1,0,52,0,52.8
1,1.76,10,0,11.3
1,1.22,7,2,10.3
1,2.23,9.5,1,11.8
1,1.91,8.5,0,9.8
1,1.04,5.5,0,6.8
1,1.61,7.5,1,9.8
1,2.63,10.5,0,11.8
1,0.99,5,0,6.3
1,1.01,6,1.46,8.76
2,2.02,10.5,1.5,13.3
1,0.84,5.5,0,6.8
1,1.02,6,0.1,7.4
1,1.14,5.5,2.04,8.84
1,1.55,8,0,9.3
1,2.22,8.5,0,9.8
1,1.06,6.5,1.56,9.36
6,1.4,7.5,0,8.8
1,4.73,17,0,18.3
1,1.88,9,0,10.3
1,1.66,10,0,10
1,2.8,12,0,13.3
1,0.44,4.5,0,5.8
1,1.1,6,2,9.3
1,1.21,6.5,1.56,9.36
1,4.11,14,0,15.3
1,3.03,12.5,0,13.8
1,1.33,7,0,8.3
1,1.28,6.5,0,7.8
2,0.43,5,1.26,7.56
1,0.71,5,0,6.3
1,2,11,0,12.3
6,1.93,9,2,12.3
1,2.17,9,0,10.3
1,0.93,6,0,7.3
1,1.44,7.5,0,8.8
3,1.12,6.5,2.34,10.14
1,2.18,9.5,2.16,12.96
1,2.38,8.5,2.45,12.25
1,2.1,9,2.06,12.36
2,1.51,6.5,1.95,9.75
1,0.65,4.5,0,5.8
1,2.23,10,2.82,14.12
1,2.03,11,3.08,15.38
1,0.42,4,0,5.3
1,0.82,5.5,0,6.8
1,1.57,7.5,0,8.8
1,3.35,12.5,2,15.8
1,2.48,11,0,12.3
1,1.53,9,4,14.3
5,1.9,8.5,1.96,11.76
5,1.02,6,0,7.3
1,1.14,7,0,8.3
6,1.88,8.5,0,9.8
1,3.37,13,0,14.3
1,1.45,7.5,0,8.8
1,2.71,11.5,0,12.8
1,2,9.5,2.16,12.96
6,0.82,5,0,6.3
1,2.68,11,2.46,14.76
2,0.96,5.5,0,6.8
1,2.74,13,0,14.3
1,2.03,11.5,0,12.8
1,1.85,11,0,12.3
1,0.22,4,0,5.3
2,0.69,5,1.89,8.19
1,2.53,10.5,0,11.8
1,0.62,4,0,5.3
1,1.05,6.5,0,7.8
1,2.56,12.5,2.76,16.56
1,1.37,7.5,0,8.8
2,3.14,12.5,0,13.8
5,1.38,7.5,2.8,11.6
5,4.28,15.5,0,16.8
1,2.93,12,2.66,15.96
1,0.26,3.5,0,4.8
1,0.63,5,0,6.3
1,7.69,22,6.99,30.29
1,2.08,9.5,0,10.8
1,0.88,8.5,0,9.8
1,0.67,5,0,6.3
1,3.03,12,0,13.3
1,2.35,11,0,12.3
1,3.5,14.5,0,15.8
1,1.33,6.5,0,7.8
1,1.12,7.5,0,8.8
1,1.66,8.5,0,9.8
1,0.94,6.5,0,7.8
1,1.53,7.5,0,8.8
5,1.43,6.5,1.17,8.97
1,2.5,12.5,2.76,16.56
1,2.54,9,0,10.3
1,2.8,12,0,13.3
1,2.77,11,0,12.3
1,2.62,11.5,0,12.8
1,1.02,7,0,8.3
1,1.67,8,0,9.3
1,4.04,15,0,16.3
1,1.74,9,0,10.3
1,1.83,9,0,10.3
1,1.38,6.5,0,7.8
5,1.46,8,0,9.3
4,1.12,6,0,7.3
1,0.75,5,0,6.3
1,0.41,4.5,0,5.8
1,1.44,9,0,10.3
1,1.02,6,2.19,9.49
2,1.06,5.5,0,6.8
1,1.93,8.5,0,9.8
1,2.73,9.5,0,10.8
1,0.84,4.5,0,5.8
1,5.77,19,2.7,23
1,1.49,6.5,2.34,10.14
1,3.05,12,0,13.3
3,2.77,11.5,0,12.8
1,1.74,10,2.26,13.56
1,1.13,7,1.66,9.96
1,3.15,13,0,14.3
1,1.22,7,1.66,9.96
6,4.41,15,0,16.3
2,2.6,13,0,14.3
1,1.45,7.5,0,8.8
3,2.8,12,0,13.3
1,0.91,5.5,0,6.8
1,1.93,8.5,0,9.8
1,1.17,6,0,7.3
1,1.5,7.5,0,8.8
6,1.13,6,0,7.3
1,1.26,7,0,8.3
1,1.15,7,0,8.3
1,2.55,10.5,2.36,14.16
1,3.58,14,3.06,18.36
1,0.56,4.5,0,5.8
1,2.84,13,1,15.3
1,0.54,4,0,5.3
1,0.99,6,0,7.3
1,3.03,12,0,13.3
1,2.7,12.5,0,13.8
1,3.63,12.5,0,13.8
1,2.02,10,0,11.3
1,2.23,10.5,0,11.8
1,1.18,5.5,1.36,8.16
1,1.57,8.5,0,9.8
1,2.1,11,2.46,14.76
1,1.65,7.5,0,8.8
1,0.92,5.5,2.04,8.84
1,0.46,5,0,6.3
1,3.03,13,0,14.3
5,1,5.5,3,9.8
1,1.78,8.5,2.94,12.74
1,1.45,7.5,0,8.8
1,1.7,9.5,2.16,12.96
1,2.18,10.5,0,11.8
1,2.14,10.5,2.36,14.16
1,0.49,4,0,5.3
1,2.1,11.5,0,12.8
1,0.56,4,1.06,6.36
1,2.09,10.5,0,11.8
6,0.98,7.5,0,8.8
2,1.59,8.5,2.45,12.25
1,0,10,0,10
1,3.36,13,1.7,16
1,3.47,12.5,2.76,16.56
1,7.56,22.5,0,23.8
1,9.51,27.5,0,28.8
1,0.66,4.5,0,5.8
2,1.42,6.5,0,7.8
1,1.9,10,0,11.3
1,1.28,7,2.49,10.79
1,2.81,11.5,0,12.8
1,3.56,13.5,0,14.8
1,3.22,12.5,2.76,16.56
1,0.87,4.5,0,5.8
1,1.39,7,0,8.3
1,1.94,8.5,0,9.8
1,0.56,4.5,1.74,7.54
1,0.28,3.5,0,4.8
1,0.92,5.5,0,6.8
1,0.95,6.5,0,7.8
1,3.91,13.5,0,14.8
1,0.7,5,0,6.3
1,0.44,7.5,0,8.8
1,2.44,11,1.5,13.8
1,2.34,10.5,0,11.8
1,2.4,10.5,0,11.8
1,3.26,14.5,3.16,18.96
1,1.3,6.5,0,7.8
1,1.79,8.5,0,9.8
1,8.11,24,0,25.3
1,3.49,13.5,0,14.8
1,0.79,5,0,6.3
1,0.73,4.5,0,5.8
1,0.64,4,0,5.3
2,0.7,4.5,1.16,6.96
1,0.97,6.5,1.56,9.36
3,5.29,16.5,4.45,22.25
5,2.42,10,0,11.3
1,0.47,4.5,0,5.8
1,1.64,8.5,0,9.8
1,0.69,4.5,1.16,6.96
1,1.88,9,3,13.3
1,1.81,10.5,2.95,14.75
1,3.29,13,0,14.3
1,1.59,7,0,8.3
1,0.79,5,0,6.3
1,1.25,6.5,0,7.8
1,1.88,8.5,1.96,11.76
1,2.15,11.5,0,12.8
1,4.53,25,0,26.3
1,3.26,13.5,0,14.8
1,2.97,12.5,0,13.8
2,1.57,8,0,9.3
1,0.62,4.5,0,5.8
5,2.38,10,0,11.3
1,0.67,4,0,5.3
1,1.34,8.5,2.94,12.74
1,1.75,8,2.79,12.09
1,2.34,10.5,2.36,14.16
1,2.01,8.5,0,9.8
1,1.41,8,2.79,12.09
1,2.32,10,2,13.3
1,0.86,6.5,0,7.8
1,1.99,10,0,11.3
1,2.6,11.5,0,12.8
1,1.81,10.5,0,11.8
1,1.74,9.5,0,10.8
1,2.39,10,0,11.3
1,0.64,4.5,0,5.8
1,3.74,13.5,0,14.8
1,1.33,7.5,0,8.8
1,7.65,23.5,0,24.8
1,1.49,7,1.66,9.96
1,1.31,6.5,0,7.8
1,1.05,6.5,0,7.8
1,1.51,7.5,0,8.8
5,2.49,11.5,3.84,16.64
5,1.35,8.5,0,9.8
1,2.33,10.5,3.54,15.34
1,2.62,12.5,3.45,17.25
1,0.58,6,0,7.3
6,0.73,6,0,7.3
1,2.28,10.5,2.36,14.16
5,1.35,8.5,0,9.8
1,2.47,11,2.46,14.76
1,1.48,7,1.66,9.96
1,4.03,14.5,3.16,18.96
5,1.12,8,1.86,11.16
1,1.87,8,0,9.3
1,1.38,7.5,0,8.8
1,5.85,20,0,21.3
1,1.04,8,1.86,11.16
1,2.55,11,0,12.3
1,1.27,7.5,0,8.8
3,0.46,4,0,5.3
1,1.82,8.5,2.45,12.25
1,2.31,13,0,14.3
1,0.93,5.5,0,6.8
3,1.13,6.5,0,7.8
1,4.96,18,3.86,23.16
3,1.62,8.5,1.96,11.76
1,2.8,13,0,14.3
1,2.33,10.5,2.36,14.16
1,2.25,12,3.32,16.62
1,1.47,10.5,0,11.8
1,0.93,6,1.46,8.76
1,0.36,3.5,0.96,5.76
1,3.18,14,3.06,18.36
5,1.99,9.5,0,10.8
1,4.98,16.5,0,17.8
1,1.77,9,0,10.3
5,1.84,10,0,11.3
1,2.01,7.5,0,8.8
1,3.03,14.5,0,15.8
1,3.89,13.5,0,14.8
1,0.33,3.5,0,4.8
2,1.85,8.5,1.96,11.76
1,0.41,3.5,0,4.8
3,1.93,8.5,0,9.8
1,2.29,10,0,11.3
1,2.83,11.5,3.2,16
1,0.14,3,0,4.3
1,1.07,5.5,0,6.8
1,1.17,8.5,0,9.8
1,1.9,9,2.06,12.36
2,2.48,12,3,16.3
5,1.97,9,2.06,12.36
1,2.1,10,0,11.3
1,2.43,10.5,0,11.8
1,2.23,13,3.58,17.88
1,1.02,6,0,7.3
1,1.39,7.5,1.76,10.56
1,7.51,23,0,24.3
1,2.24,10.5,0,11.8
1,0.95,5.5,0,6.8
1,7.29,22,0,23.3
1,2.2,9.5,0,10.8
1,0.43,4,0,5.3
1,0.79,5,0,6.3
1,2.48,10.5,0,11.8
3,2.39,11.5,0,12.8
6,0.65,5,1.26,7.56
1,0.49,5,0,6.3
1,6.02,20.5,1,22.8
1,1.67,7.5,0,8.8
1,1.99,9,0,10.3
1,4.22,15,0,16.3
1,1.14,7,1.66,9.96
1,2.32,11.5,0,12.8
1,2.61,10.5,0,11.8
1,3.84,13.5,4.44,19.24
2,1.9,9.5,0,10.8
1,3.44,12.5,0,13.8
1,1.24,6.5,0,7.8
1,1.68,7.5,1.5,10.3
1,0,6.5,0,7.8
1,1.84,9.5,2.16,12.96
1,4.04,15,3.26,19.56
1,2.85,12.5,0,13.8
6,0.75,4.5,0,5.8
1,1.03,7.5,0,8.8
6,0.79,5,0,6.3
1,2.32,12.5,0,13.8
1,0.03,2.5,0,3.8
1,1.01,5.5,1.36,8.16
1,1.76,8,0,9.3
5,4.36,16,0,17.3
5,3.8,13,3.58,17.88
1,1.54,10.5,2,13.8
5,3.39,12.5,4.14,17.94
1,1.12,8,0,9.3
1,1.59,8,0,9.3
5,0.99,5.5,0,6.8
5,1.07,6,0,7.3
1,1.78,10,0,11.3
1,3.58,13.5,0,14.8
1,0.64,4,0,5.3
1,0.93,6,2.19,9.49
1,0.57,4.5,0,5.8
1,1.87,9.5,0,10.8
1,1.57,8,1.86,11.16
1,4.06,15.5,5.04,21.84
1,0.7,5.5,0,6.8
1,1.88,8.5,0,9.8
1,7.21,22.5,0,23.8
1,1.99,8.5,0,9.8
1,3.93,14.5,0,15.8
2,1.17,6.5,1.95,9.75
1,1.8,9.5,0,10.8
1,1.53,7,0,8.3
1,2.27,10,2.26,13.56
1,3.59,15.5,0,16.8
1,0.64,8,0,9.3
1,1.39,7,1.66,9.96
3,1.26,6.5,0,7.8
1,0.68,5,0,6.3
1,3.69,14.5,0,15.8
1,2.12,9.5,2.7,13.5
1,6.51,20,4.26,25.56
1,1.84,8.5,2.94,12.74
2,2.67,11,3.08,15.38
3,1.26,6.5,0,7.8
1,1.61,7.5,0,8.8
1,4.15,16.5,4.45,22.25
2,3.92,15.5,2,18.8
1,3.71,14.5,3.16,18.96
1,1.17,6.5,0,7.8
1,0.97,6,1,8.3
1,1.27,8.5,0,9.8
1,0.5,4.5,0,5.8
2,1.91,8.5,1.2,11
1,1.1,6,0,7.3
1,1.46,7,0,8.3
1,0.5,3.5,0.96,5.76
1,0.58,5,0,6.3
5,6.85,20,0,21.3
1,1.18,8,0,9.3
1,2.44,10.5,0,11.8
1,2.29,11,0,12.3
1,3.48,12.5,2.76,16.56
1,1.46,8,0,9.3
1,2.39,11,0,12.3
1,3.27,14.5,0,15.8
1,1.35,8,2.32,11.62
1,6.58,21,0,22.3
1,1.48,7,2.08,10.38
1,2.1,10,2.26,13.56
1,0.97,6,2,9.3
1,0,-20,0,-20
1,3.75,14,0,15.3
1,2.2,10,0,11.3
1,2.58,10.5,0,11.8
1,0.39,3.5,0,4.8
1,1.05,6.5,0,7.8
6,2.22,10,2.26,13.56
1,1.16,7,0,8.3
6,0.67,5,0,6.3
5,0.34,3.5,0,4.8
1,2.87,12.5,0,13.8
1,2.07,10,0,11.3
1,3.21,15,4.08,20.38
1,2.46,9.5,2.16,12.96
1,5.67,20.5,0,21.8
1,1.78,10.5,0,11.8
6,3.95,16.5,3.56,21.36
2,4.2,15.5,0,16.8
1,8.27,25.5,0,26.8
1,3.73,14,2.5,17.8
1,0.85,5.5,0,6.8
1,3.63,16.5,3.56,21.36
2,6.57,21,4.46,26.76
1,0.87,5.5,0,6.8
1,1.05,6,0,7.3
2,1.51,7.5,0,8.8
1,4.78,15.5,0,16.8
1,3.24,14,0,15.3
1,1.44,7.5,0,8.8
1,0.65,5.5,0,6.8
5,1.17,6.5,0,7.8
1,1.25,7.5,0,8.8
1,3.19,12,2.66,15.96
1,1.7,8,1.86,11.16
2,1.96,8,1.86,11.16
1,1.37,7.5,0,8.8
1,3.27,13,0,14.3
2,2.84,11.5,3,15.8
1,1.41,8,1.86,11.16
1,0.53,4,0,5.3
1,7.87,25,5.26,31.56
1,3.6,14.5,2,17.8
1,3.48,15.5,0,16.8
1,3.7,12.5,0,13.8
2,1.6,9,0,10.3
1,0.64,4,0,5.3
1,2.83,12,0,12
1,0.46,3.5,1.2,6
1,2.22,10.5,0,11.8
1,5.93,20.5,3.5,25.3
1,1.95,9,0,10.3
1,0.76,5.5,0,6.8
1,3.62,14,0,15.3
1,1.47,7,0,8.3
1,0.53,4.5,1.16,6.96
1,0.58,5.5,1.36,8.16
6,1.47,7.5,0,8.8
1,1.15,6,0,7.3
1,1.05,5.5,0,6.8
1,1.94,9,2.06,12.36
1,3.4,13,0,14.3
1,3.56,15,3.26,19.56
1,0.74,6,0,7.3
1,4.79,16,5.19,22.49
1,0,2.5,0,3.8
1,1.76,8,2.32,11.62
4,4.66,16,0,17.3
1,0.94,6,1.46,8.76
3,1.81,9,3.09,13.39
1,0.58,6,0,7.3
1,0.93,6,0,7.3
1,1.26,7,1.66,9.96
1,1.45,8.5,0,9.8
1,3.17,14,3.82,19.12
1,2.49,9.5,2.16,12.96
1,2.64,15,0,15
1,0.83,4.5,1.16,6.96
1,0.67,5,4,10.3
1,0.9,5.5,0,6.8
1,4.79,16,5.19,22.49
1,2.62,11.5,0,12.8
1,1.91,9,0,10.3
3,1.94,10,2.82,14.12
1,3.12,14.5,3.16,18.96
1,5.78,19,0,25.84
1,3.11,13,1,15.3
3,4.42,17.5,0,18.8
1,5.95,19,0,20.3
1,3.39,12,0,13.3
1,4.74,16.5,3,20.8
1,1.16,6.5,1.56,9.36
1,0.86,5.5,1.36,8.16
1,0.03,-2.5,0,-3.8
1,0.96,5.5,1.7,8.5
1,4.58,16.5,0,17.8
2,0.54,5.5,0,6.8
1,1.68,7.5,0,8.8
1,2.74,11,0,12.3
1,0,3.5,0,4.8
1,0.85,5,0,6.3
1,2.1,11,3.08,15.38
1,2.31,11.5,0,12.8
5,1.42,6,0,7.3
1,1.73,7.5,0,8.8
1,9.24,28.5,0,29.8
1,2.35,10.5,0,11.8
1,1.01,6.5,0,7.8
1,2.05,11.5,0,12.8
1,2.04,8.5,2.94,12.74
1,0.65,4.5,0,5.8
1,3.36,12.5,0,13.8
1,2.29,11,2.46,14.76
1,1.93,8.5,0,9.8
1,1.35,7.5,0,8.8
6,0.54,4.5,0,5.8
1,2.04,9.5,0,10.8
1,6.49,21,4.46,26.76
2,3.66,15,2,18.3
4,2.58,11.5,0,12.8
1,1.33,7,0,8.3
1,1.34,7.5,1,9.8
1,3.45,13,0,14.3
3,2.61,10,0,11.3
1,0,2.5,8,11.8
1,1.06,6.5,0,7.8
1,1.17,6.5,0,7.8
1,1.89,10.5,0,11.8
1,14.93,40,0,41.3
1,3.92,15,0,16.3
1,2.08,9,0,10.3
1,1.83,8,0,9.3
1,0.64,4,0,5.3
1,2.48,11.5,0,12.8
5,1.75,9.5,2.7,13.5
1,2.55,12.5,0,13.8
1,8.75,26,0,27.3
1,1.43,7.5,0,8.8
3,3.25,14.5,2.5,18.3
1,2.17,9.5,3.24,14.04
1,3.03,14.5,0,15.8
1,1.71,8.5,2,11.8
1,4.62,17,0,18.3
1,2.78,12,2.66,15.96
1,7.3,22,6.99,30.29
1,6.29,22.5,5.95,29.75
1,1.67,8,1.86,11.16
1,2.91,11.5,0,12.8
1,2.49,12.5,0,13.8
5,0.33,3.5,0,4.8
1,3.87,14.5,3.16,18.96
1,5.96,21,4.46,26.76
1,3.42,13.5,0,14.8
1,0.98,5.5,2.04,8.84
1,0.96,6.5,0,7.8
1,2.14,9,0,10.3
1,1.7,8.5,0,9.8
1,1.6,7,0,8.3
1,2.1,9.5,2.16,12.96
1,0.72,5.5,0,6.8
1,4.57,16,0,17.3
1,1.02,5.5,1.5,8.3
1,1.56,11.5,0,12.8
1,0.66,4,0,5.3
1,2.36,10.5,0,11.8
1,3.75,14.5,0,15.8
5,3.66,15,2.5,18.8
1,2,9.5,0,10.8
5,0.21,3.5,0,4.8
1,1.29,7.5,2.2,11
1,6.53,22,0,23.3
1,5.29,19.5,4.16,24.96
1,3.05,12.5,0,13.8
1,0.99,5.5,0,6.8
1,1.85,10,0,11.3
1,2.9,13,0,14.3
5,7.03,21,0,22.3
1,1.58,8,0,9.3
1,5.29,17.5,0,18.8
1,1.08,5.5,0,6.8
1,2.2,11,3.69,15.99
1,2.77,14,0,15.3
1,1.28,7.5,0.2,9
1,2.73,12.5,0,13.8
3,0.99,6,0,7.3
1,2.07,10.5,0,11.8
1,0.9,6,0,7.3
3,1.58,8.5,1.96,11.76
1,1.22,7,1.66,9.96
1,7.83,25.5,0,26.8
1,2.89,11,0,12.3
1,4.99,16.5,0,17.8
1,1.9,9.5,2.16,12.96
3,4.99,15.5,3.36,20.16
6,1.5,7,1.66,9.96
1,4.74,15.5,0,16.8
2,5.17,17.5,0,18.8
1,4.96,17.5,0,18.8
1,1.39,6.5,0,7.8
1,1.39,8,0,9.3
1,3.27,14.5,0,15.8
1,1.26,6.5,0,7.8
5,5.95,18,0,19.3
1,4.68,19.5,0,20.8
1,2.07,12.5,1,14.8
1,1.8,7.5,2.2,11
1,1.72,7,0,8.3
3,0.76,6,0,7.3
1,2.56,10.5,2.36,14.16
1,1.48,7,0,8.3
1,5.83,20,0,21.3
1,3.78,12.5,0,13.8
1,2.41,11,0,12.3
1,3.85,15,0,16.3
1,2.76,12.5,2.76,16.56
1,0.47,3.5,1,5.8
1,1.69,8.5,0.9,10.7
5,2.19,10.5,2.36,14.16
1,2.33,13,2,16.3
1,1.47,8,2.79,12.09
1,0.55,4.5,0,5.8
1,2.03,10,3.39,14.69
1,2.55,11.5,2.56,15.36
1,2.01,11.5,0,12.8
6,1.26,7,0,8.3
1,0.99,6.5,2.34,10.14
2,4.83,19,0,20.3
1,3.11,12.5,0,13.8
1,6.17,21,4.46,26.76
1,3.61,15,3,19.3
1,1.12,6.5,0,7.8
1,4.64,16,3.46,20.76
1,0,52,0,52.8
2,0.94,7.5,0,8.8
1,5.97,19,0,20.3
5,1.71,8,0,9.3
1,2.03,9,2.06,12.36
1,1.14,6.5,1.56,9.36
1,0,22,0,22
1,4.16,16,0,17.3
1,1.69,7.5,0,8.8
1,3.39,16,0,17.3
1,3.9,15.5,5.04,21.84
1,4.21,18,2,21.3
2,3.99,15,3.26,19.56
1,0.58,4.5,0,5.8
1,3,15,0,15
1,4.74,18,3.86,23.16
1,0.49,4.5,0,5.8
1,2.14,9.5,0,10.8
1,5.52,19,0,20.3
3,2.19,9,2.06,12.36
2,3.4,13,0,14.3
1,0.99,6,0,7.3
1,4.32,16.5,3.56,21.36
1,2.52,9.5,0,10.8
1,1.23,7,0,8.3
1,2.82,12,0,13.3
1,3.56,15,0,16.3
1,0.65,5,1.26,7.56
1,2.88,13,2.86,17.16
1,1.75,11,2.46,14.76
1,2.7,12.5,0,13.8
1,5.04,19.5,6.24,27.04
1,1.45,7.5,0,8.8
3,4.36,30,0,30
6,1.13,6.5,0,7.8
1,1.86,8,0,9.3
1,3.81,12.5,2.76,16.56
1,0.19,3.5,0,4.8
1,4.36,17,0,18.3
1,1.05,5.5,0,6.8
1,1.91,9.5,3.24,14.04
1,2.78,11.5,2.56,15.36
1,1.11,5.5,0,6.8
1,2.83,11.5,3.2,16
1,3.93,17,3.66,21.96
1,0.66,4.5,0,5.8
1,7.05,22.5,4.28,28.08
5,5.98,18,0,19.3
2,3.11,13,0,13
1,0.84,6,0,7.3
1,2.15,9.5,2.7,13.5
1,1.65,7.5,0,8.8
1,5.26,20,1,22.3
1,7.41,21.5,0,22.8
1,2.8,11,0,12.3
1,0.39,3.5,0.96,5.76
1,0.74,5.5,0,6.8
2,0,25,5,30
2,0.9,5.5,1.36,8.16
5,1.17,6.5,0,7.8
1,1.3,7.5,0,8.8
1,2.61,13.5,0,14.8
1,7.92,25,0,26.3
1,1.73,7.5,0,8.8
1,0.82,5,0,6.3
1,2.03,7.5,0,8.8
1,2.17,9.5,2.16,12.96
1,1.28,6.5,0,7.8
1,2.07,10,0,11.3
1,2.8,16,0,17.3
1,2.9,12.5,0,13.8
1,3.51,12,0,13.3
5,3.38,15,3.26,19.56
1,1.44,7,0,8.3
1,1.93,9,0,10.3
5,3.41,11.5,0,12.8
1,1.79,10.5,0,11.8
1,1.78,10,0,11.3
2,0.59,4,0,5.3
1,5.57,19.5,0,20.8
1,1.01,5.5,1.7,8.5
1,2.21,9.5,2.16,12.96
1,1.46,8,2.79,12.09
1,1.19,6,0,7.3
1,1.23,6.5,0,7.8
1,7.11,22,5.77,34.61
1,1.05,6,0,7.3
1,1.24,7,0,8.3
1,1.9,10,2.26,13.56
1,8.52,24.5,0,25.8
1,1.9,8,1.86,11.16
1,2.33,9.5,0,10.8
3,3.91,18,3.86,23.16
1,1.98,9.5,0,10.8
1,2.53,9.5,0,10.8
1,0.04,30,0,30
1,4.49,15,0,16.3
5,12.51,35.5,0,36.8
1,3.5,13.5,2,16.8
4,1.1,6,0,7.3
5,0.82,5,0,6.3
1,2.47,11,0,12.3
1,1.93,8.5,1.96,11.76
1,1.02,5.5,0,6.8
1,1.14,7,0,8.3
1,2.79,13.5,0,14.8
2,0.98,7,0,8.3
1,2.22,9.5,0,10.8
1,2.54,11,2.46,14.76
2,5.68,19.5,0,20.8
1,0.13,2.5,0,3.8
2,3.22,13.5,0,14.8
1,2.05,10.5,0,11.8
2,1.99,9,0,10.3
1,4.49,17.5,0,18.8
5,1.57,7.5,0,8.8
1,0.93,5.5,0,6.8
1,3.9,15.5,4.2,21
1,1.77,15,4.08,20.38
1,1.91,9,0,10.3
1,4.02,14.5,0,15.8
1,2.88,11,2.46,14.76
1,0.65,5.5,1.36,8.16
1,6.16,19,0,20.3
1,3.31,12.5,2.76,16.56
1,3.21,14.5,0,15.8
1,1.88,9.5,2.16,12.96
1,7.72,25,0,26.3
1,2.35,11.5,2.56,15.36
1,1.59,7.5,0,8.8
1,3.15,12.5,0,13.8
1,1.65,8,0,9.3
1,1.24,7,2,10.3
1,2.88,13.5,2.96,17.76
2,3.15,13,0,14.3
1,0.56,4,0,5.3
1,1.41,8,1.4,10.7
1,1.35,7,1.66,9.96
1,5.96,20.5,3,24.8
1,5.44,20.5,5.45,27.25
6,0.93,6,1.46,8.76
1,4.65,16,3.46,20.76
1,2.58,10.5,2.36,14.16
2,1.52,6.5,2.34,10.14
1,4.44,18.5,0,19.8
2,1.47,7.5,1.76,10.56
1,3.75,15.5,0,16.8
2,0.47,5,0,6.3
1,0.5,4,0,5.3
1,5.4,20.5,0,21.8
1,2.67,12,2.66,15.96
1,1.3,6,2.19,9.49
2,3.43,13,4.29,18.59
1,4.22,17.5,0,18.8
1,4.33,14,0,15.3
1,4.12,17,3.66,21.96
1,3.29,12.5,0,13.8
1,1.07,7,2.08,10.38
1,4.81,19.5,4.16,24.96
1,1.43,8,1.5,10.8
1,2.3,8.5,0,9.8
2,2.67,16,0,17.3
1,0.82,5.5,0,6.8
1,6.81,23,2,26.3
1,2.11,9.5,0,10.8
1,2.25,11,0,12.3
1,1.47,9.5,2.7,13.5
1,1.35,9.5,0,10.8
1,4.72,19.5,0,20.8
1,3.78,13.5,0,14.8
1,2.98,13.5,4.44,19.24
1,1.82,9.5,1,11.8
1,1.67,8.5,1.96,11.76
1,3.93,16.5,0,17.8
1,3.98,13.5,0,14.8
1,2,9,0,10.3
1,3.01,14,0,15.3
1,4.04,15,1.63,17.93
1,2.52,11,0,12.3
6,4.9,17.5,0,18.8
1,2.04,9,2.06,12.36
1,2.03,8,0,9.3
1,1.08,5,0,6.3
2,2.13,10,2.82,14.12
1,1.42,8.5,2,11.8
1,2.4,13,2.86,17.16
1,4.93,20.5,4.36,26.16
5,1.67,8.5,1.8,11.6
1,0.74,4.5,1,6.8
1,0,2.5,16,19.8
1,3.54,12.5,3.45,17.25
1,1.21,6,0,7.3
1,5.31,19,0,20.3
1,2.28,10.5,0,11.8
1,4.87,18,3,22.3
1,7.36,23,4,33.84
1,3.36,13.5,0,14.8
1,2.64,11.5,0,12.8
2,5.48,19,0,20.3
1,2.39,12,2.66,15.96
3,1.05,6,1.46,8.76
2,2.17,9,0,10.3
1,2.31,11,0,12.3
1,3.13,11.5,3.2,16
1,3.71,13,0,14.3
1,5.91,19,0,20.3
1,3.21,14,0,15.3
1,2.43,12,0,13.3
1,1.68,8,0,9.3
1,14.42,40.5,0,41.8
1,2.19,9,2.58,12.88
1,1.86,9,2.58,12.88
1,3.11,16,5.19,22.49
1,3.64,15,4.89,21.19
1,2.4,9,0,10.3
6,2.94,13.5,0,14.8
6,5.54,21.5,4.56,27.36
1,1.96,10,0,11.3
1,5.38,16.5,0,17.8
5,0.37,3.5,0.96,5.76
1,0.65,5.5,0,6.8
1,1.97,10,0,11.3
1,2.88,15.5,0,16.8
1,0.63,5,0,6.3
1,1.29,8,1.86,11.16
1,1.02,6,0,7.3
1,1.16,6,1.46,8.76
1,10.25,31,2.4,34.7
1,1.33,7.5,0,8.8
1,0.41,4,0,5.3
1,1.71,9,0,10.3
1,0.41,3.5,0.96,5.76
1,1.32,6.5,0,7.8
1,0.5,3.5,0,4.8
1,0.81,7,0,8.3
5,0.82,6,0,7.3
1,7.96,25,0,31.84
1,1.39,7,0,8.3
1,2.33,12,0,13.3
1,2.55,12,0,13.3
1,0,2.5,0,3.8
1,1.82,9,0,10.3
1,0.79,5,1.26,7.56
1,1.25,7,0,8.3
5,1.06,5.5,0,6.8
1,1.94,9,0,10.3
1,2.89,13,0,14.3
1,3.97,12.5,2.76,16.56
5,4.02,14.5,4.74,20.54
1,1.11,7,1.66,9.96
1,5.96,19.5,4.16,24.96
