,col1,col2
0,-1271.50753493,1320.47392557
1,492.057010237,-480.32676973
2,111.90764053,-158.37156
3,438.990717354,-483.713560806
4,316.760675613,-363.378349707
5,-533.001998237,733.674644977
6,362.109773539,-439.153331991
7,82.6837158966,-129.204998311
